n;Xdown;Xup
1 ; -33.5 ; -31.5
2 ; -35.0 ; -32.0
3 ; -34.0 ; -31.0
4 ; -34.0 ; -31.5
5 ; -35.5 ; -32.0
6 ; -34.5 ; -31.5
7 ; -34.0 ; -31.5
8 ; -33.5 ; -30.5
9 ; -34.0 ; -31.0
10 ; -34.0 ; -31.5
11 ; -34.5 ; -31.5
12 ; -34.5 ; -31.5
13 ; -35.0 ; -32.0
14 ; -34.5 ; -31.5
15 ; -34.5 ; -31.5
16 ; -34.0 ; -31.5
17 ; -34.0 ; -31.0
18 ; -34.0 ; -31.5
19 ; -34.5 ; -31.5
20 ; -34.0 ; -31.0
21 ; -34.0 ; -31.5
22 ; -34.0 ; -31.0
23 ; -33.5 ; -31.5
24 ; -34.5 ; -31.5
25 ; -34.0 ; -31.5
26 ; -34.0 ; -31.0
27 ; -34.0 ; -31.0
28 ; -34.0 ; -31.0
29 ; -34.5 ; -31.5
30 ; -34.0 ; -31.5
31 ; -34.5 ; -31.5
32 ; -34.0 ; -31.5
33 ; -34.0 ; -31.5
34 ; -34.5 ; -31.5
35 ; -34.0 ; -31.5
36 ; -34.0 ; -31.5
37 ; -34.0 ; -31.0
38 ; -34.0 ; -31.5
39 ; -34.5 ; -31.5
40 ; -34.0 ; -31.5
41 ; -34.0 ; -31.5
42 ; -34.5 ; -31.5
43 ; -34.5 ; -31.5
44 ; -34.0 ; -31.5
45 ; -34.0 ; -31.5
46 ; -34.0 ; -31.5
47 ; -34.0 ; -31.5
