n;Xdown;Xup
1 ; -66.0 ; -65.0
2 ; -66.5 ; -66.0
3 ; -66.0 ; -65.5
4 ; -65.5 ; -65.5
5 ; -64.5 ; -65.5
6 ; -66.5 ; -64.0
7 ; -66.5 ; -66.0
8 ; -72.5 ; -69.5
9 ; -66.5 ; -67.5
10 ; -68.5 ; -69.5
11 ; -73.0 ; -72.0
12 ; -66.5 ; -66.5
13 ; -67.5 ; -67.0
14 ; -69.0 ; -68.0
15 ; -66.0 ; -66.0
16 ; -65.5 ; -64.5
17 ; -73.0 ; -74.5
18 ; -70.0 ; -72.5
19 ; -67.5 ; -67.0
20 ; -70.0 ; -70.5
21 ; -69.0 ; -69.5
22 ; -71.5 ; -73.5
23 ; -64.0 ; -63.5
24 ; -66.0 ; -66.0
25 ; -64.0 ; -64.0
26 ; -79.5 ; -77.0
27 ; -68.0 ; -67.5
28 ; -66.0 ; -65.5
29 ; -68.0 ; -67.5
30 ; -69.0 ; -68.5
31 ; -73.5 ; -73.0
32 ; -72.0 ; -72.0
33 ; -67.0 ; -67.0
34 ; -69.5 ; -72.0
35 ; -65.5 ; -67.0
36 ; -64.0 ; -64.0
37 ; -66.0 ; -66.5
38 ; -67.0 ; -66.5
39 ; -63.5 ; -62.5
40 ; -68.5 ; -67.5
41 ; -65.0 ; -65.0
42 ; -64.5 ; -64.5
43 ; -67.0 ; -65.5
44 ; -66.5 ; -66.0
45 ; -65.0 ; -66.0
46 ; -65.0 ; -64.5
47 ; -66.5 ; -67.5
